epoch,AUC,Binary Accuracy,False Negatives,False Positives,Precision,Recall,True Negatives,True Positives,loss,val_AUC,val_Binary Accuracy,val_False Negatives,val_False Positives,val_Precision,val_Recall,val_True Negatives,val_True Positives,val_loss
0,0.9806408286094666,0.9470182657241821,601.0,713.0,0.9431781768798828,0.9516725540161133,11652.0,11835.0,0.15276633203029633,0.9720324873924255,0.9241379499435425,35.0,174.0,0.8846153616905212,0.9744338989257812,1212.0,1334.0,0.2176043838262558
1,0.9873907566070557,0.9553660750389099,420.0,564.0,0.9495075941085815,0.961908221244812,10456.0,10606.0,0.13293835520744324,0.982705295085907,0.948094367980957,73.0,70.0,0.949676513671875,0.9476327300071716,1291.0,1321.0,0.16741226613521576
2,0.9915679097175598,0.9623968005180359,376.0,453.0,0.9591891765594482,0.9658895134925842,10570.0,10647.0,0.10678553581237793,0.9705190658569336,0.9415608048439026,48.0,113.0,0.9216366410255432,0.9651415944099426,1265.0,1329.0,4.072131156921387
3,0.9940149188041687,0.9672049283981323,315.0,408.0,0.9632994532585144,0.9714259505271912,10614.0,10709.0,0.08992625027894974,0.9880239963531494,0.9582577347755432,41.0,74.0,0.9463768005371094,0.9695619940757751,1334.0,1306.0,0.12977223098278046
4,0.9963719844818115,0.9746893048286438,254.0,304.0,0.9725508093833923,0.9769614338874817,10717.0,10771.0,0.07163093239068985,0.9794442057609558,0.9343012571334839,136.0,45.0,0.9649532437324524,0.9010909199714661,1335.0,1239.0,0.21764881908893585
0,0.9962990283966064,0.9748707413673401,246.0,308.0,0.9722172021865845,0.9776850342750549,10714.0,10778.0,0.07012826204299927,0.973656415939331,0.9437386393547058,49.0,106.0,0.926183819770813,0.9644669890403748,1270.0,1330.0,0.23127129673957825
1,0.9983850121498108,0.9841241240501404,157.0,193.0,0.9825512766838074,0.9857596158981323,10828.0,10868.0,0.04556156322360039,0.9744283556938171,0.9477313756942749,36.0,108.0,0.9249478578567505,0.9736649394035339,1280.0,1331.0,0.38108304142951965
2,0.9977856278419495,0.9833076000213623,159.0,209.0,0.9811286926269531,0.9855782389640808,10812.0,10866.0,0.05082423985004425,0.9682711958885193,0.9205081462860107,37.0,182.0,0.880499005317688,0.9731494784355164,1195.0,1341.0,0.8778992891311646
3,0.9986254572868347,0.9861652851104736,142.0,163.0,0.9852395057678223,0.9871166944503784,10861.0,10880.0,0.03982509672641754,0.9706370234489441,0.9379310607910156,71.0,100.0,0.9289267659187317,0.9484760761260986,1277.0,1307.0,0.30386805534362793
4,0.9981770515441895,0.985167384147644,155.0,172.0,0.9844231009483337,0.9859410524368286,10849.0,10870.0,0.04311800003051758,0.9869881868362427,0.9553539156913757,96.0,27.0,0.9789062738418579,0.9288361668586731,1379.0,1253.0,0.7177800536155701
0,0.9490382671356201,0.8929964900016785,1033.0,1326.0,0.8828311562538147,0.9062953591346741,9696.0,9991.0,0.28069233894348145,0.9695010185241699,0.9183303117752075,23.0,202.0,0.8697614669799805,0.9832361340522766,1181.0,1349.0,0.22477978467941284
1,0.9724479913711548,0.9378118515014648,518.0,853.0,0.9248921275138855,0.9530031085014343,10171.0,10504.0,0.1873343288898468,0.9015195965766907,0.5223230719566345,1297.0,19.0,0.791208803653717,0.052593134343624115,1367.0,72.0,1.3029921054840088
2,0.9743722081184387,0.9390819072723389,503.0,840.0,0.9260693788528442,0.9543763995170593,10181.0,10522.0,0.18375355005264282,0.951080858707428,0.5023593306541443,1353.0,18.0,0.6470588445663452,0.02380952425301075,1351.0,33.0,1.023123025894165
3,0.9768072962760925,0.9443889856338501,444.0,782.0,0.9311680197715759,0.9597206115722656,10241.0,10579.0,0.1718013435602188,0.968473494052887,0.9321234226226807,23.0,164.0,0.8936446309089661,0.9835831522941589,1190.0,1378.0,0.22129139304161072
4,0.9627432823181152,0.9182164669036865,579.0,1224.0,0.8950977325439453,0.9474734663963318,9799.0,10444.0,0.22960922122001648,0.9804278612136841,0.9484573602676392,86.0,56.0,0.9591836929321289,0.9386590719223022,1297.0,1316.0,0.23505139350891113
0,0.9680886268615723,0.9374218583106995,627.0,925.0,0.9273084402084351,0.9495453238487244,11449.0,11800.0,0.1943623125553131,0.9744822382926941,0.9437386393547058,62.0,93.0,0.9342756271362305,0.9552023410797119,1278.0,1322.0,0.26786720752716064
1,0.9779050946235657,0.9489249587059021,428.0,698.0,0.9381972551345825,0.9611756205558777,10324.0,10596.0,0.1612677276134491,0.899655818939209,0.8486388325691223,19.0,398.0,0.7756482362747192,0.9863799214363098,962.0,1376.0,0.9483952522277832
2,0.9828065633773804,0.9551846385002136,342.0,646.0,0.9429832100868225,0.9689823985099792,10374.0,10684.0,0.14157700538635254,0.9753984212875366,0.9470054507255554,36.0,110.0,0.924554169178009,0.97398841381073,1261.0,1348.0,0.21209535002708435
3,0.9805484414100647,0.9514197707176208,325.0,746.0,0.9348300695419312,0.9705241918563843,10274.0,10701.0,0.149789497256279,0.9746056199073792,0.9411978125572205,75.0,87.0,0.9381223320960999,0.9461979866027832,1274.0,1319.0,0.21832822263240814
4,0.9842983484268188,0.9593123197555542,298.0,599.0,0.9470988512039185,0.9729631543159485,10425.0,10724.0,0.1297401487827301,0.981435239315033,0.9470054507255554,43.0,103.0,0.9291121959686279,0.969131350517273,1259.0,1350.0,0.1690201610326767
0,0.9870919585227966,0.963025689125061,278.0,639.0,0.9499882459640503,0.9776095151901245,11746.0,12138.0,0.11279481649398804,0.9552862048149109,0.8950998187065125,21.0,268.0,0.8372799158096313,0.9850000143051147,1087.0,1379.0,0.3056472837924957
1,0.9865012764930725,0.9660255908966064,199.0,550.0,0.9516441226005554,0.9819468259811401,10473.0,10824.0,0.11206655949354172,0.9615800976753235,0.9313974380493164,39.0,150.0,0.8992612361907959,0.9716981053352356,1227.0,1339.0,0.2579520642757416
2,0.9892297387123108,0.971559464931488,176.0,451.0,0.9600814580917358,0.9840334057807922,10572.0,10847.0,0.09762396663427353,0.9802555441856384,0.9441016316413879,25.0,129.0,0.91236412525177,0.9817251563072205,1258.0,1343.0,0.2568966746330261
0,0.8389960527420044,0.7582327723503113,2823.0,2507.0,0.7659852504730225,0.744038462638855,8510.0,8206.0,0.49336105585098267,0.712106466293335,0.5774954557418823,11.0,1153.0,0.546420156955719,0.9921428561210632,202.0,1389.0,2.632993459701538
1,0.9666418433189392,0.9213916063308716,789.0,944.0,0.9155710339546204,0.9284418821334839,10076.0,10237.0,0.221452534198761,0.9742727875709534,0.9096188545227051,20.0,229.0,0.8571428656578064,0.9856528043746948,1132.0,1374.0,0.2645884156227112
2,0.9716609716415405,0.9306449890136719,728.0,801.0,0.9278313517570496,0.9339742660522461,10219.0,10298.0,0.20216205716133118,0.7938123941421509,0.7038112282752991,9.0,807.0,0.6304945349693298,0.9935064911842346,562.0,1377.0,2.983227252960205
3,0.9724785685539246,0.932141900062561,620.0,876.0,0.9223473072052002,0.9437641501426697,10145.0,10405.0,0.1940898895263672,0.9396061897277832,0.8794918060302734,14.0,318.0,0.810601532459259,0.9898181557655334,1062.0,1361.0,0.35030311346054077
4,0.9763996601104736,0.9410324096679688,537.0,763.0,0.9321657419204712,0.9512792825698853,10261.0,10485.0,0.17548306286334991,0.9788839817047119,0.9183303117752075,178.0,47.0,0.9629629850387573,0.8728571534156799,1308.0,1222.0,0.8493898510932922
0,0.9320324659347534,0.8527403473854065,2273.0,2816.0,0.8424351215362549,0.8688325881958008,14413.0,15056.0,0.2251303642988205,0.8800204992294312,0.6047186851501465,1052.0,37.0,0.9013333320617676,0.24316546320915222,1328.0,338.0,0.5846245884895325
1,0.9731323719024658,0.9354077577590942,574.0,850.0,0.9247521162033081,0.947912871837616,10176.0,10446.0,0.18890486657619476,0.9651882648468018,0.9415608048439026,38.0,123.0,0.9164401888847351,0.9726027250289917,1245.0,1349.0,0.19743947684764862
